Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.018748,-6.778E-17,0.056734,0,0,0,3.1992,0.090721,3.7201E-17,-0.0024282,0.051074,-1.3632E-18,0.11593,0,0,0,0,0,0,package://bot2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
B,0.005,0.1,2.2811E-17,0,0,0,0.76,0.011679,1.0729E-20,1.7754E-20,0.0091517,1.7658E-19,0.0025397,0,0,0,0,0,0,package://bot2/meshes/B.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/B.STL,,Back-1,Origin_BJ2,Axis_BJ2,BJ,prismatic,-0.175,0,0.011,1.5707963267949,0,0,base_link,0,1,0,100,0.1,-0.15,0,,,,,,,,0
FRW,-0.046186,-0.019179,-0.048696,0,0,0,0.23606,0.00022129,2.7105E-20,1.9555E-21,0.00022142,-5.846E-08,0.00040743,0,0,0,0,0,0,package://bot2/meshes/FRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/FRW.STL,,Wheel-2,Origin_FRWJ,Axis_FRWJ,FRWJ,continuous,0.095,-0.17,0.047,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
RRW,0.078517,0.032533,-0.048696,0,0,0,0.23606,0.00022129,3.3881E-20,1.1316E-21,0.00022142,-5.846E-08,0.00040743,0,0,0,0,0,0,package://bot2/meshes/RRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/RRW.STL,,Wheel-1,Origin_RRWJ,Axis_RRWJ,RRWJ,continuous,-0.065,-0.17,0.047,1.5707963267949,0.393094810426521,-3.14159265358979,base_link,0,0,1,,,,,,,,,,,,0
FLW,0.05,-2.6617E-05,-0.048696,0,0,0,0.23606,0.00022129,-2.1925E-22,1.5305E-20,0.00022142,-5.846E-08,0.00040743,0,0,0,0,0,0,package://bot2/meshes/FLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/FLW.STL,,Wheel-3,Origin_FLWJ,Axis_FLWJ,FLWJ,continuous,0.095,0.17,0.047,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,0
RLW,-0.085,-2.6617E-05,-0.048696,0,0,0,0.23606,0.00022129,-2.1925E-22,1.5305E-20,0.00022142,-5.846E-08,0.00040743,0,0,0,0,0,0,package://bot2/meshes/RLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/RLW.STL,,Wheel-4,Origin_RLWJ,Axis_RLWJ,RLWJ,continuous,-0.065,0.17,0.047,1.5707963267949,0,0,base_link,0,0,1,,,,,,,,,,,,0
RC,0.015,0,0,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,-1.0334E-21,2.125E-05,0,0,0,0,0,0,package://bot2/meshes/RC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/RC.STL,,Camera-1,Origin_RCJ,Axis_RCJ,RCJ,fixed,0.03,-0.23,0.125,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
LC,0.015,0,0,0,0,0,0.075,3.125E-05,1.6263E-22,-4.2352E-22,2.125E-05,-1.0334E-21,2.125E-05,0,0,0,0,0,0,package://bot2/meshes/LC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/LC.STL,,Camera-4,Origin_LCJ,,LCJ,fixed,0.03,0.23,0.125,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,0
RA,0.064226,0,0,0,0,0,0.11493,1.7546E-05,1.2859E-21,-5.3917E-21,0.0001712,-2.9655E-21,0.00017089,0,0,0,0,0,0,package://bot2/meshes/RA.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/RA.STL,,EP-1,Origin_RAJ,Axis_RAJ,RAJ,fixed,0.175,-0.185,0.055,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,0
RF,0.075327,1.3878E-17,0.0052437,0,0,0,0.24614,0.00024699,7.1507E-21,-4.7172E-05,0.00069522,3.0946E-20,0.00092098,0,0,0,0,0,0,package://bot2/meshes/RF.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot2/meshes/RF.STL,,Flap-1,,,RFJ,revolute,0.135,0,0,0,0.7854,0,RA,0,1,0,100,0.125,-1.309,0.7854,,,,,,,,0
