Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0,0,0,0,14.204,0.27975,9.7649E-17,0.0073374,0.31459,2.0126E-17,0.50704,0,0,0,0,0,0,package://Bot.SLDASM/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
Front_Right_Wheel,0.125,-0.025,0.2225,0,0,0,0.84038,0.0021789,3.2526E-19,1.2033E-19,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Right_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Right_Wheel.STL,,Wheel-4,Origin_global,,FRWB,continuous,0.125,-0.025,0.2225,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
Rear_Right_Wheel,-0.125,-0.025,0.2225,0,0,0,0.84038,0.0021789,5.421E-19,-1.4347E-20,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Right_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Right_Wheel.STL,,Wheel-3,Origin_global,,RRWB,continuous,-0.125,-0.025,0.2225,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
Front_Left_Wheel,0.125,-0.025,-0.2225,0,0,0,0.84038,0.0021789,-5.464E-21,-9.6509E-20,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Left_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Left_Wheel.STL,,Wheel-2,Origin_global,,FLWB,continuous,0.125,-0.025,-0.2225,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
Rear_Left_Wheel,-0.125,-0.025,-0.2225,0,0,0,0.84038,0.0021789,-6.2009E-21,1.7763E-19,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Left_Wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Rear_Left_Wheel.STL,,Wheel-1,Origin_global,,RLWB,continuous,-0.125,-0.025,-0.2225,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
Front_Camera,0.225,0.045,0,0,0,0,0.075,3.125E-05,7.0586E-22,1.0588E-21,2.125E-05,-3.1623E-23,2.125E-05,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Front_Camera.STL,,Camera-1,Origin_global,,FC,fixed,0.225,0.045,0,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,0
Left_Camera,0,0.125,-0.2,0,0,0,0.075,3.125E-05,3.5057E-37,7.0586E-23,2.125E-05,-1.8962E-21,2.125E-05,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Left_Camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Left_Camera.STL,,Camera-3,Origin_LC,,LC,fixed,0,0.125,0.1,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,0
Right_Camera,0,0.125,0.2,0,0,0,0.075,3.125E-05,-5.1556E-22,4.1344E-38,2.125E-05,-1.4671E-21,2.125E-05,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Right_Camera.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Right_Camera.STL,,Camera-2,Origin_RC,,RC,fixed,0,0.125,-0.1,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,0
Extension_1,0,0.3535,0,0,0,0,0.17024,1.3441E-05,-5.5621E-21,-4.1147E-17,0.0037227,5.3294E-21,0.0037222,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_1.STL,,Extension Pole 1-1,Origin_global,Axis_E1,E1,prismatic,0,0.335,0,-1.5708,0,0,base_link,1,0,0,0,0,-0.4,0,,,,,,,,0
Extension_2,0.43,0.335,0,0,0,0,0.12697,0.0012864,-2.1574E-20,5.6869E-22,1.2621E-05,1.8232E-19,0.0012854,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Bot.SLDASM/meshes/Extension_2.STL,,Extension Pole 2-1,Origin_global,Axis_E2,E2,prismatic,0.43,0.335,0,3.1416,0,3.1416,Extension_1,0,1,0,0,0,-0.225,0,,,,,,,,0
