Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0053902,0.054165,-2.2639E-16,0,0,0,14.204,0.27975,0.0073374,-1.9876E-16,0.50704,-4.0258E-17,0.31459,0,0,0,0,0,0,package://BOT2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRW,1.3878E-17,-9.3458E-05,-0.088949,0,0,0,0.84038,0.0021789,6.5052E-19,1.6994E-19,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://BOT2/meshes/FRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/FRW.STL,,Wheel-3,,,FRWJ,continuous,0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
RRW,-2.7756E-17,-9.3458E-05,-0.088949,0,0,0,0.84038,0.0021789,3.7947E-19,4.5846E-20,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://BOT2/meshes/RRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/RRW.STL,,Wheel-2,,,RRWJ,continuous,-0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
FLW,0,-9.3458E-05,-0.088949,0,0,0,0.84038,0.0021789,-8.7639E-21,2.8296E-19,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://BOT2/meshes/FLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/FLW.STL,,Wheel-1,,,FLWJ,continuous,0.125,0.13,-0.025,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
RLW,0,-9.3458E-05,-0.088949,0,0,0,0.84038,0.0021789,-8.7639E-21,2.8296E-19,0.0021828,-1.0643E-06,0.0039293,0,0,0,0,0,0,package://BOT2/meshes/RLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/RLW.STL,,Wheel-4,,,RLWJ,continuous,-0.125,0.13,-0.025,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
CL,0.015,0,-6.93889390390723E-18,0,0,0,0.075,3.125E-05,4.76321900401482E-37,4.23516473627154E-22,2.125E-05,-1.92107072437275E-21,2.125E-05,0,0,0,0,0,0,package://BOT2/meshes/CL.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BOT2/meshes/CL.STL,,Camera-3,Origin_CLJ,Axis_CLJ,CLJ,fixed,0.05,0.23,0.125,-1.5707963267949,0,-1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
CR,-0.215,0.125,0.05,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,-1.3056E-21,2.125E-05,0,0,0,0,0,0,package://BOT2/meshes/CR.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/CR.STL,,Camera-2,Origin_CRJ,Axis_CRJ,CRJ,fixed,0,0,0,1.5707963267949,0,1.5707963267949,base_link,0,0,0,,,,,,,,,,,,0
FC,0.015,0,-3.187E-17,0,0,0,0.075,3.125E-05,3.5293E-22,-3.5293E-22,2.125E-05,-1.5382E-21,2.125E-05,0,0,0,0,0,0,package://BOT2/meshes/FC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/FC.STL,,Camera-1,Origin_FCJ,Axis_FCJ,FCJ,fixed,0.225,0,0.04,1.5707963267949,0,0,base_link,0,0,0,,,,,,,,,,,,0
EX1,0.1731,0,2.1106E-17,0,0,0,0.17024,1.3441E-05,1.4616E-21,9.6106E-21,0.0037227,-3.7103E-22,0.0037222,0,0,0,0,0,0,package://BOT2/meshes/EX1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/EX1.STL,,Extension Pole 1-1,,,EX1J,prismatic,0,0,0.305,1.5708,0,0,base_link,1,0,0,0,0.1,-0.325,0,,,,,,,,0
EX2,-5.5511E-17,0.10159,1.9145E-17,0,0,0,0.12697,0.0012864,4.0577E-21,5.1699E-23,1.2621E-05,7.4926E-21,0.0012854,0,0,0,0,0,0,package://BOT2/meshes/EX2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://BOT2/meshes/EX2.STL,,Extension Pole 2-1,,,EX2J,prismatic,0.4,0,0,0,0,3.1416,EX1,0,1,0,0,0.1,-0.2,0,,,,,,,,0
CH,1.66533453693773E-16,-0.026611627303482,1.46463975305053E-16,0,0,0,0.0488722339297265,1.28485509444641E-05,6.42638528589113E-20,7.2378303598359E-22,1.76241649488179E-05,3.69356731399461E-20,1.33077781502466E-05,0,0,0,0,0,0,package://BOT2/meshes/CH.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BOT2/meshes/CH.STL,,Claw holder-1,,,CHJ,revolute,0,0.2475,0,-3.1416,0,0,EX2,0,0,1,0,0.5527,0,1.6581,,,,,,,,0
F1,0.0398511817087885,-0.0704218063833564,-5.09348035970802E-09,0,0,0,0.034078677401874,6.71489572093971E-05,3.55606349351821E-06,-3.46025915288922E-12,1.32419384317018E-05,1.45357733160219E-11,7.24305470154951E-05,0,0,0,0,0,0,package://BOT2/meshes/F1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BOT2/meshes/F1.STL,,Scoop Finger-4,,,F1J,continuous,0,-0.037,-0.022,-1.5708,0.85309,-1.5708,CH,0,0,1,,,,,,,,,,,,0
F2,0.0110444139547976,-0.0664767748177897,0.0374841133701374,0,0,0,0.0681572697363621,0.000139318394052944,7.35967533862082E-06,-9.38271019595517E-07,3.0221593586624E-05,1.36785582206483E-05,0.000136102465895359,0,0,0,0,0,0,package://BOT2/meshes/F2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BOT2/meshes/F2.STL,,Scoop Finger-3;Scoop Finger-2,,,F2J,continuous,0,-0.037,0.022,1.5708,-1.5023,-1.5708,CH,0,0,1,,,,,,,,,,,,0
F3,0.0398511951668313,-0.0704218201958535,-1.97907967791622E-09,0,0,0,0.0340786290959295,6.71488287887255E-05,3.55606236566693E-06,-5.53200177366679E-13,1.32419212837711E-05,7.87356655194435E-12,7.24304479687471E-05,0,0,0,0,0,0,package://BOT2/meshes/F3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://BOT2/meshes/F3.STL,,Scoop Finger-3,,,F3J,continuous,0,-0.037,0.022,1.5708,-1.5023,-1.5708,CH,0,0,1,,,,,,,,,,,,0
