Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0072784,0.05469,-2.3054E-16,0,0,0,11.125,0.24112,0.015551,-1.9123E-16,0.42071,-6.7665E-17,0.26315,0,0,0,0,0,0,package://bot7/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,0
FRW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,1.6263E-19,-8.4703E-21,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot7/meshes/FRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/FRW.STL,,Wheel-4,,,FRWJ,continuous,0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
RRW,-2.7756E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,6.5052E-19,4.6852E-20,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot7/meshes/RRW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/RRW.STL,,Wheel-3,,,RRWJ,continuous,-0.125,-0.13,-0.025,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,0
FLW,0,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot7/meshes/FLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/FLW.STL,,Wheel-1,,,FLWJ,continuous,0.125,0.13,-0.025,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
RLW,-1.3878E-17,-7.5392E-05,-0.089381,0,0,0,0.8334,0.0021574,-8.7964E-21,2.7837E-19,0.0021606,-8.5571E-07,0.0039286,0,0,0,0,0,0,package://bot7/meshes/RLW.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/RLW.STL,,Wheel-2,,,RLWJ,continuous,-0.125,0.13,-0.025,1.5708,0,0,base_link,0,0,1,,,,,,,,,,,,0
RC,0.015,0,-6.9389E-18,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,-1.3056E-21,2.125E-05,0,0,0,0,0,0,package://bot7/meshes/RC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/RC.STL,,Camera-1,,,RCJ,fixed,0.05,-0.23,0.125,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,0
FC,0.015,0,-1.0663E-16,0,0,0,0.075,3.125E-05,-9.1835E-38,4.2352E-22,2.125E-05,-3.3633E-21,2.125E-05,0,0,0,0,0,0,package://bot7/meshes/FC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/FC.STL,,Camera-3,,,FCJ,fixed,0.225,0,0.04,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,0
LC,0.015,0,0,0,0,0,0.075,3.125E-05,-1.6263E-22,4.2352E-22,2.125E-05,-1.3056E-21,2.125E-05,0,0,0,0,0,0,package://bot7/meshes/LC.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/LC.STL,,Camera-2,,,LCJ,fixed,0.05,0.2,0.125,1.5708,0,1.5708,base_link,0,0,0,,,,,,,,,,,,0
EP1,0.12296,0,2.403E-16,0,0,0,0.17181,1.2311E-05,-1.0984E-20,-1.3847E-20,0.0057549,-4.5234E-22,0.0057544,0,0,0,0,0,0,package://bot7/meshes/EP1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/EP1.STL,,Extension Pole 1-1,,,EP1J,prismatic,0,0,0.305,1.5708,0,0,base_link,1,0,0,10,0.1,-0.34,0,,,,,,,,0
EP2,0,0.10207,-1.3503E-17,0,0,0,0.11609,0.001338,6.8406E-22,-3.6189E-22,1.1509E-05,-8.3599E-21,0.001337,0,0,0,0,0,0,package://bot7/meshes/EP2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/EP2.STL,,Extension Pole 2-1,,,EP2J,prismatic,0.4025,0,0,0,0,3.1416,EP1,0,1,0,10,0.1,-0.195,0,,,,,,,,0
CH,1.1102E-16,-0.026528,1.7496E-16,0,0,0,0.047623,1.2295E-05,4.8763E-20,9.3058E-22,1.7093E-05,2.321E-20,1.2749E-05,0,0,0,0,0,0,package://bot7/meshes/CH.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/CH.STL,,Claw holder-1,,,CHJ,revolute,0,0.2525,0,0,0,3.1416,EP2,0,0,1,10,0.125,-0.7854,0,,,,,,,,0
F1,0.021298,0.064967,1.2256E-08,0,0,0,0.026962,3.4145E-05,3.7053E-06,-4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot7/meshes/F1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/F1.STL,,Angular Finger-1,,,F1J,revolute,0,-0.037,0.022,0,-1.5708,0,CH,0,0,1,10,0.125,0,0.7854,,,,,,,,0
F2,0.021298,-0.064967,-1.2256E-08,0,0,0,0.026962,3.4145E-05,-3.7053E-06,4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot7/meshes/F2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/F2.STL,,Angular Finger-2,,,F2J,revolute,0.022,-0.037,0,0,0,0,CH,0,0,1,10,0.125,-0.7854,0,,,,,,,,0
F3,0.021298,-0.064967,-1.2256E-08,0,0,0,0.026962,3.4145E-05,-3.7053E-06,4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot7/meshes/F3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/F3.STL,,Angular Finger-3,,,FJ3,revolute,0,-0.037,-0.022,0,1.5708,0,CH,0,0,1,10,0.125,0,0.7854,,,,,,,,0
F4,0.021298,-0.064967,-1.2256E-08,0,0,0,0.026962,3.4145E-05,-3.7053E-06,4.0684E-12,7.6085E-06,2.7644E-11,3.5528E-05,0,0,0,0,0,0,package://bot7/meshes/F4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bot7/meshes/F4.STL,,Angular Finger-4,,,F4J,revolute,-0.022,-0.037,0,3.1416,0,3.1416,CH,0,0,1,10,0.125,-0.5236,0,,,,,,,,0
